Precinct,Early Ballots Cast, ,,Election Ballots Cast,,Total Ballots Cast,,Registered Voters,Percent Turnout,Percent Turnout,"REP
Mary Nan Huffman",,"DEM
Kim Ogg",,Totals
1002,663,,,174,,837,,"1,787",46.84%,,189,,581,,770
1003,0,,,1,,1,,0,0.00%,,0,,1,,1
1004,543,,,52,,595,,754,78.91%,,261,,306,,567
1005,0,,,0,,0,,0,0.00%,,0,,0,,0
1006,0,,,0,,0,,0,0.00%,,0,,0,,0
1007,"1,148",,,199,,"1,347",,"2,164",62.25%,,329,,953,,"1,282"
1008,913,,,85,,998,,"1,296",77.01%,,747,,219,,966
1009,0,,,0,,0,,0,0.00%,,0,,0,,0
1010,705,,,101,,806,,"1,153",69.90%,,185,,573,,758
1011,17,,,1,,18,,30,60.00%,,12,,4,,16
1012,906,,,245,,"1,151",,"1,865",61.72%,,378,,673,,"1,051"
Totals:,"1,448,767",,,"203,737",,"1,652,504",,"2,431,457",,,"720,407",,"841,914",,"1,562,321"
